timestamp,from_user_id,to_user_id,text_left,text_right,label
2026-04-13T15:10:53.425726,503094851,538185142,"Работаю в айти, люблю путешествовать и кошек","не пью, не курю",negative
2026-04-13T15:11:25.104874,503094851,238858316,"Работаю в айти, люблю путешествовать и кошек","Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность",positive
2026-04-13T15:11:40.983429,238858316,503094851,"Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность","Работаю в айти, люблю путешествовать и кошек",positive
2026-04-13T16:00:11.519149,108879077,238858316,"Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика","Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность",positive
2026-04-13T16:01:02.602058,238858316,108879077,"Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность","Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика",positive
2026-04-27T05:18:19.277776,503094851,238858316,Работаю в айти сфере. Люблю путешествовать и просто людей,"Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность",positive
2026-04-27T05:18:37.235065,238858316,503094851,"Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность",Работаю в айти сфере. Люблю путешествовать и просто людей,positive
2026-05-07T07:44:15.433595,108879077,238858316,"Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика","Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность",positive
2026-05-07T07:44:25.931154,238858316,108879077,"Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность","Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика",positive
2026-05-07T07:54:15.841026,238858316,108879077,"Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность","Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика",positive
2026-05-07T07:54:27.997496,108879077,238858316,"Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика","Я занимаюсь разработкой продуктов для айти компаний. Люблю путешествовать, природу, гулять и люблю домашних животных. Хочу чтобы в мире было добро и у всех на лицах улыбочки. Также обучаюсь на информационную безопасность",positive
2026-05-07T08:10:52.432347,238858316,108879077,авав,"Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика",negative
2026-05-07T09:45:15.926632,108879077,238858316,"Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика",ыаваыпвыпаыаыавыа ваывакуцкуцак цавыаы аыа,positive
2026-05-07T09:45:54.264272,238858316,108879077,ыаваыпвыпаыаыавыа ваывакуцкуцак цавыаы аыа,"Занимаюсь фотографией, музыкой, люблю дизайн, общаться с людьми, гуляю по кофейням. Учусь на аналитика",positive
2026-05-11T13:36:02.343815,444302380,108879077,Люблю программировать,ывап,positive
2026-05-11T13:51:42.009470,108879077,444302380,ывап,Люблю программировать,positive
2026-05-14T18:49:25.018744,108879077,238858316,"Люблю фотографию, дизайн, предпочитаю активный отдых, спорт",аваыаыавыавы,positive
2026-05-14T18:49:46.088595,238858316,108879077,аваыаыавыавы,"Люблю фотографию, дизайн, предпочитаю активный отдых, спорт",positive
2026-05-14T20:18:28.771930,-910000000000,-920000000000,"Люблю путешествия, спорт и активные выходные. synthetic_batch=20260514201828","Обожаю поездки, прогулки и новые места. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.772441,-910000000001,-920000000001,"Ценю уют, книги и спокойные вечера. synthetic_batch=20260514201828","Люблю домашний формат, фильмы и долгие разговоры. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.772694,-910000000002,-920000000002,"Много работаю, развиваю проекты и люблю цели. synthetic_batch=20260514201828","Ценю амбиции, развитие и самостоятельность. synthetic_batch=20260514201828",neutral
2026-05-14T20:18:28.772979,-910000000003,-920000000003,Мне нравятся вечеринки и большие компании. synthetic_batch=20260514201828,"Предпочитаю тишину, дом и камерное общение. synthetic_batch=20260514201828",negative
2026-05-14T20:18:28.773191,-910000000004,-920000000004,Хочу серьезные отношения и общие планы. synthetic_batch=20260514201828,Ищу легкое общение без обязательств. synthetic_batch=20260514201828,negative
2026-05-14T20:18:28.773387,-910000000005,-920000000005,"Люблю путешествия, спорт и активные выходные. synthetic_batch=20260514201828","Обожаю поездки, прогулки и новые места. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.773577,-910000000006,-920000000006,"Ценю уют, книги и спокойные вечера. synthetic_batch=20260514201828","Люблю домашний формат, фильмы и долгие разговоры. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.773801,-910000000007,-920000000007,"Много работаю, развиваю проекты и люблю цели. synthetic_batch=20260514201828","Ценю амбиции, развитие и самостоятельность. synthetic_batch=20260514201828",neutral
2026-05-14T20:18:28.774065,-910000000008,-920000000008,Мне нравятся вечеринки и большие компании. synthetic_batch=20260514201828,"Предпочитаю тишину, дом и камерное общение. synthetic_batch=20260514201828",negative
2026-05-14T20:18:28.774282,-910000000009,-920000000009,Хочу серьезные отношения и общие планы. synthetic_batch=20260514201828,Ищу легкое общение без обязательств. synthetic_batch=20260514201828,negative
2026-05-14T20:18:28.774478,-910000000010,-920000000010,"Люблю путешествия, спорт и активные выходные. synthetic_batch=20260514201828","Обожаю поездки, прогулки и новые места. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.774678,-910000000011,-920000000011,"Ценю уют, книги и спокойные вечера. synthetic_batch=20260514201828","Люблю домашний формат, фильмы и долгие разговоры. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.774905,-910000000012,-920000000012,"Много работаю, развиваю проекты и люблю цели. synthetic_batch=20260514201828","Ценю амбиции, развитие и самостоятельность. synthetic_batch=20260514201828",neutral
2026-05-14T20:18:28.775248,-910000000013,-920000000013,Мне нравятся вечеринки и большие компании. synthetic_batch=20260514201828,"Предпочитаю тишину, дом и камерное общение. synthetic_batch=20260514201828",negative
2026-05-14T20:18:28.775582,-910000000014,-920000000014,Хочу серьезные отношения и общие планы. synthetic_batch=20260514201828,Ищу легкое общение без обязательств. synthetic_batch=20260514201828,negative
2026-05-14T20:18:28.775848,-910000000015,-920000000015,"Люблю путешествия, спорт и активные выходные. synthetic_batch=20260514201828","Обожаю поездки, прогулки и новые места. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.776063,-910000000016,-920000000016,"Ценю уют, книги и спокойные вечера. synthetic_batch=20260514201828","Люблю домашний формат, фильмы и долгие разговоры. synthetic_batch=20260514201828",positive
2026-05-14T20:18:28.776263,-910000000017,-920000000017,"Много работаю, развиваю проекты и люблю цели. synthetic_batch=20260514201828","Ценю амбиции, развитие и самостоятельность. synthetic_batch=20260514201828",neutral
2026-05-14T20:18:28.776485,-910000000018,-920000000018,Мне нравятся вечеринки и большие компании. synthetic_batch=20260514201828,"Предпочитаю тишину, дом и камерное общение. synthetic_batch=20260514201828",negative
